,document_id,id,owner,asset,transactiontype,date,notif_date,amount,capgains,assettype,ticker
0,,,,,,,,,,,
1,20020708,,,"flipside crypto, inc. [ot] f_____ s_____: new s_________ o_: flipside crypto investo l_______: usr holdings, llc d__________: sold equity interest in flipside crypto, inc. c_______: i sold my interest in flipsidecrypto, inc, a coback to company. amount below fair market value, as defined by the companmpany that i invested in before information related to this transaction that is unavailabley's most recent valuation. as a would be available to any other investorupon request.to members ofthe public. the te",s,03/22/2022,,"$15,001 - $50,000 my election to congr member of congress, rms of this sale and t",,,
2,20021740,,,apple inc. (aapl) [st] f_____ s_____: new c_______: purchase of aapl stock in t required threshold.hree separate transactions on same day. individu,p,08/26/2022,,"$1,001 - $15,000 al transactions are be",,st,aapl
3,20020448,,sp,putnam ultra short duration income a (psdtx) [ab] filing status: new subholding of: charles schwab ira,s,01/25/2022,,"$50,001 - $100,000",,,psdtx
4,20020448,,sp,starbucks corporation (sbux) [st],s,01/25/2022,,"$15,001 - $50,000",,st,sbux
5,20020448,,sp,walt disney company (dis) [st] filing status: new subholding of: charles schwab ira,s,01/25/2022,,"$1,001 - $15,000",,st,dis
6,20021681,,,walt disney company (dis) [st] f_____ s_____: new,s,08/15/2022,,"$15,001 - $50,000",,st,dis
7,20020585,,sp,"activision blizzard, inc (atvi) [st] filing status: new subholding of: inherited ira - 2016",p,02/10/2022,,"$1,001 - $15,000",,st,atvi
8,20020585,,,"activision blizzard, inc (atvi) [st]",p,02/10/2022,,"$1,001 - $15,000",,st,atvi
9,20021236,,sp,"bellring brands, inc. (brbr) [st] f_____ s_____: new s_________ o_: creation agents llc 401k",s,06/15/2022,,"$1,001 - $15,000",,st,brbr
10,20022132,,dc,"tesla, inc. (tsla) [st] f_____ s_____: new",s,12/05/2022,,"$1,001 - $15,000",,st,tsla
11,20020474,,sp,lockheed martin corporation (lmt) [st],s,02/24/2022,,"$1,001 - $15,000",,st,lmt
12,20020474,,sp,lockheed martin corporation (lmt) [st] filing status: new subholding of: creation agents llc 401k,s,02/10/2022,,"$1,001 - $15,000",,st,lmt
13,20020474,,sp,"paypal holdings, inc. (pypl) [st]",p,02/28/2022,,"$1,001 - $15,000",,st,pypl
14,20020474,,,"paypal holdings, inc. (pypl) [st] filing status: new subholding of: cindy axne ira",p,02/28/2022,,"$1,001 - $15,000",,st,pypl
15,20020474,,sp,"paypal holdings, inc. (pypl) [st]",p,02/28/2022,,"$1,001 - $15,000",,st,pypl
16,20020367,,sp,brown forman inc class b (bf.b) [st] filing status: new subholding of: creation agents llc 401k,p,01/13/2022,,"$1,001 - $15,000",,st,bf.b
17,20020367,,sp,global payments inc. (gpn) [st],p,01/13/2022,,"$1,001 - $15,000",,st,gpn
18,20020367,,sp,jefferies financial group inc. (jef) [st] filing status: new subholding of: creation agents llc 401k,p,01/13/2022,,"$1,001 - $15,000",,st,jef
19,20020367,,sp,keysight technologies inc. (keys) [st],p,01/13/2022,,"$1,001 - $15,000",,st,keys
20,20020367,,sp,liberty broadband corporation - class a (lbrda) [st] filing status: new subholding of: creation agents llc 401k,p,01/13/2022,,"$1,001 - $15,000",,st,lbrda
21,20020367,,sp,starbucks corporation (sbux) [st],p,01/13/2022,,"$1,001 - $15,000",,st,sbux
22,20021134,,,danaher corporation (dhr) [st] f_____ s_____: new s_________ o_: cindy axne ira,p,05/10/2022,,"$1,001 - $15,000",,st,dhr
23,20021134,,sp,danaher corporation (dhr) [st],p,05/10/2022,,"$1,001 - $15,000",,st,dhr
24,20021134,,sp,danaher corporation (dhr) [st] f_____ s_____: new s_________ o_: creation agents llc 401k,p,05/10/2022,,"$1,001 - $15,000",,st,dhr
25,20021134,,,johnson & johnson (jnj) [st],s,05/04/2022,,"$1,001 - $15,000",,st,jnj
26,20021134,,sp,johnson & johnson (jnj) [st] f_____ s_____: new s_________ o_: john axne ira,s,05/04/2022,,"$1,001 - $15,000",,st,jnj
27,20021134,,sp,johnson & johnson (jnj) [st],s,05/04/2022,,"$1,001 - $15,000",,st,jnj
28,20021134,,sp,jp morgan chase & co. (jpm) [st],s,05/12/2022,,"$1,001 - $15,000",,st,jpm
29,20021134,,sp,jp morgan chase & co. (jpm) [st] f_____ s_____: new s_________ o_: john axne ira,s,05/12/2022,,"$1,001 - $15,000",,st,jpm
30,20022042,,sp,"amazon.com, inc. (amzn) [st] f_____ s_____: new s_________ o_: creation agents llc 401k",p,11/23/2022,,"$1,001 - $15,000",,st,amzn
31,20022042,,,"church & dwight company, inc. (chd) [st]",p,11/23/2022,,"$1,001 - $15,000",,st,chd
32,20022042,,,danaher corporation (dhr) [st] f_____ s_____: new s_________ o_: cindy axne ira,p,11/23/2022,,"$1,001 - $15,000",,st,dhr
33,20022042,,sp,danaher corporation (dhr) [st],p,11/23/2022,,"$1,001 - $15,000",,st,dhr
