,document_id,id,owner,asset,transactiontype,date,notif_date,amount,capgains,assettype,ticker
0,,,,,,,,,,,
1,20019561,,sp,dover corporation (dov) [st] filing status: new,p,06/16/2020,,"$15,001 - $50,000",,st,dov
2,20019775,,sp,dover corporation (dov) [st] filing status: new,p,06/15/2021,,"$15,001 - $50,000",,st,dov
3,20019774,,,"total system services, inc. (tss) [st] filing status: new",s,12/27/2019,,"$15,001 - $50,000",,st,tss
4,20019774,,,united technologies corporation (utx) [st],s,12/27/2019,,"$1,001 - $15,000",,st,utx
5,20018703,,,thermo fisher scientific inc (tmo) [st] filing status: new,s,04/12/2021,,"$15,001 - $50,000",,st,tmo
6,20019653,,sp,3m company (mmm) [st] filing status: new,s,05/14/2020,,"$1,001 - $15,000",,st,mmm
7,20019653,,sp,"home depot, inc. (hd) [st]",p,05/14/2020,,"$1,001 - $15,000",,st,hd
8,20019653,,sp,truist financial corporation (tfc) [st] filing status: new,s,04/15/2020,,"$15,001 - $50,000",,st,tfc
9,20019653,,sp,walmart inc. (wmt) [st],p,02/20/2020,,"$1,001 - $15,000",,st,wmt
10,20018530,,,"church & dwight company, inc. (chd) [st] filing status: new",s,03/10/2021,,"$15,001 - $50,000",,st,chd
11,20018530,,,"merck & company, inc. common stock (mrk) [st]",s,03/10/2021,,"$15,001 - $50,000",,st,mrk
12,20018530,,,"nextera energy, inc. (nee) [st] filing status: new",p,03/10/2021,,"$1,001 - $15,000",,st,nee
13,20018530,,,thermo fisher scientific inc (tmo) [st],p,03/10/2021,,"$15,001 - $50,000",,st,tmo
14,20018530,,,walt disney company (dis) [st] filing status: new,p,03/10/2021,,"$15,001 - $50,000",,st,dis
15,20018906,,,accenture plc class a ordinary shares (acn) [st] filing status: new,p,05/13/2021,,"$50,001 - $100,000",,st,acn
16,20018906,,,albemarle corporation (alb) [st],p,05/04/2021,,"$15,001 - $50,000",,st,alb
17,20018906,,,johnson & johnson (jnj) [st] filing status: new,p,05/04/2021,,"$15,001 - $50,000",,st,jnj
18,20018906,,,south state corporation (ssb) [st],s,05/13/2021,,"$15,001 - $50,000",,st,ssb
19,20019790,,sp,"freeport-mcmoran, inc. (fcx) [st] filing status: new",s,10/04/2021,,"$1,001 - $15,000",,st,fcx
20,20019790,,sp,"paypal holdings, inc. (pypl) [st]",s,10/22/2021,,"$1,001 - $15,000",,st,pypl
21,20018393,,sp,albemarle corporation (alb) [st] filing status: new,p,02/10/2021,,"$1,001 - $15,000",,st,alb
22,20018393,,,deere & company (de) [st],p,02/10/2021,,"$15,001 - $50,000",,st,de
23,20018393,,sp,deere & company (de) [st] filing status: new,p,02/26/2021,,"$1,001 - $15,000",,st,de
24,20018393,,sp,"freeport-mcmoran, inc. (fcx) [st]",p,02/26/2021,,"$1,001 - $15,000",,st,fcx
25,20018393,,,"freeport-mcmoran, inc. (fcx) [st] filing status: new",p,02/10/2021,,"$15,001 - $50,000",,st,fcx
26,20018393,,sp,"paypal holdings, inc. (pypl) [st]",p,02/10/2021,,"$1,001 - $15,000",,st,pypl
27,20018393,,,south state corporation (ssb) [st] filing status: new,s,02/18/2021,,"$15,001 - $50,000",,st,ssb
28,20018393,,,south state corporation (ssb) [st],s,02/10/2021,,"$15,001 - $50,000",,st,ssb
29,20018393,,sp,starbucks corporation (sbux) [st] filing status: new,p,02/26/2021,,"$1,001 - $15,000",,st,sbux
30,20018393,,sp,verizon communications inc. (vz) [st],s,02/10/2021,,"$1,001 - $15,000",,st,vz
31,20018021,,sp,"dominion energy, inc. (d) [st] filing status: new",s,12/15/2020,,"$15,001 - $50,000",,st,d
32,20018018,,,kroger company (kr) [st] filing status: new subholding of: schwab ira,p,12/18/2020,,"$1,001 - $15,000",,st,kr
33,20019685,,,berkshire hathaway inc. new (brk.b) [st] filing status: new subholding of: cindy axne ira,s,10/21/2021,,"$1,001 - $15,000",,st,brk.b
34,20019685,,sp,berkshire hathaway inc. new (brk.b) [st],s,10/21/2021,,"$1,001 - $15,000",,st,brk.b
35,20019685,,sp,mastercard incorporated (ma) [st] filing status: new subholding of: creation agents llc 401k,p,10/22/2021,,"$1,001 - $15,000",,st,ma
36,20019685,,,mastercard incorporated (ma) [st],p,10/22/2021,,"$1,001 - $15,000",,st,ma
37,20019685,,sp,visa inc. (v) [st] filing status: new subholding of: creation agents llc 401k,p,10/22/2021,,"$1,001 - $15,000",,st,v
38,20018903,,jt,kroger company (kr) [st] filing status: new,p,05/20/2021,,"$1,001 - $15,000",,st,kr
39,20019063,,,kroger company (kr) [st] filing status: new subholding of: schwab ira,s,06/22/2021,,"$1,001 - $15,000",,st,kr
40,20019063,,,roblox corporation class a (rblx) [st],p,06/25/2021,,"$1,001 - $15,000",,st,rblx
41,20018763,,jt,kroger company (kr) [st] filing status: new,p,04/05/2021,,"$1,001 - $15,000",,st,kr
42,20019099,,jt,kroger company (kr) [st] filing status: new,s,06/22/2021,,"$1,001 - $15,000",,st,kr
43,20019099,,,kroger company (kr) [st],s,06/22/2021,,"$1,001 - $15,000",,st,kr
44,20019099,,,roblox corporation class a (rblx) [st] filing status: new subholding of: schwab ira,p,06/25/2021,,"$1,001 - $15,000",,st,rblx
45,20019099,,jt,roblox corporation class a (rblx) [st],p,06/25/2021,,"$1,001 - $15,000",,st,rblx
46,20019824,,sp,global payments inc. (gpn) [st] filing status: new subholding of: creation agents llc 401k,p,11/16/2021,,"$1,001 - $15,000",,st,gpn
